730,Counter-Strike: Global Offensive,"Aug 21, 2012",50000000 - 100000000,0,0.0,1,"['Czech', 'Danish', 'Dutch', 'English', 'Finnish', 'French', 'German', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Bulgarian', 'Ukrainian', 'Greek', 'Spanish - Latin America', 'Vietnamese']",http://blog.counter-strike.net/,True,True,True,5764420,766677,30484,"Valve,Hidden Path Entertainment","Action,Free to Play"
440,Team Fortress 2,"Oct 10, 2007",50000000 - 100000000,0,0.0,1,"['English', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean', 'Czech', 'Hungarian', 'Portuguese - Brazil', 'Turkish', 'Greek', 'Bulgarian', 'Romanian', 'Thai', 'Ukrainian']",http://www.teamfortress.com/,True,True,True,823693,56683,9916,Valve,"Action,Free to Play"
578080,PUBG: BATTLEGROUNDS,"Dec 21, 2017",50000000 - 100000000,0,0.0,0,"['English', 'Korean', 'Simplified Chinese', 'French', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Polish', 'Portuguese', 'Russian', 'Turkish', 'Thai', 'Italian', 'Portuguese - Brazil', 'Traditional Chinese', 'Ukrainian']",http://www.pubg.com,True,False,False,1154655,895978,21963,"KRAFTON, Inc.","Action,Adventure,Free to Play,Massively Multiplayer"
1063730,New World,"Sep 28, 2021",50000000 - 100000000,0,39.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Spanish - Latin America']",https://www.newworld.com/,True,False,False,154914,73900,7432,Amazon Games,"Action,Adventure,Massively Multiplayer,RPG"
252950,Rocket League®,"Jul 6, 2015",10000000 - 20000000,0,0.0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Portuguese', 'Japanese', 'Korean', 'Russian', 'Turkish', 'Polish']",http://www.rocketleague.com/,True,False,False,493188,62447,15653,Psyonix LLC,"Action,Indie,Racing,Sports"
489830,The Elder Scrolls V: Skyrim Special Edition,"Oct 27, 2016",5000000 - 10000000,17,39.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Traditional Chinese', 'Russian', 'Japanese']",,True,False,False,198312,19722,3864,Bethesda Game Studios,RPG
367520,Hollow Knight,"Feb 24, 2017",5000000 - 10000000,0,14.99,2,"['English', 'French', 'German', 'Spanish - Spain', 'Korean', 'Simplified Chinese', 'Italian', 'Portuguese - Brazil', 'Russian', 'Japanese']",http://hollowknight.com,True,True,True,232778,6892,1795,Team Cherry,"Action,Adventure,Indie"
218230,PlanetSide 2,"Nov 20, 2012",5000000 - 10000000,0,0.0,0,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Russian', 'Simplified Chinese']",http://www.planetside2.com/,True,False,False,54848,12144,1706,Rogue Planet Games,"Action,Free to Play,Massively Multiplayer"
8930,Sid Meier's Civilization® V,"Sep 21, 2010",5000000 - 10000000,0,29.99,15,"['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Polish', 'Japanese', 'Korean', 'Russian', 'Traditional Chinese']",http://www.civilization.com,True,True,True,178687,7165,7009,"Firaxis Games,Aspyr (Mac),Aspyr (Linux)",Strategy
466240,Deceit,"Mar 3, 2017",5000000 - 10000000,0,0.0,3,"['English', 'Spanish - Spain', 'German', 'Russian', 'Simplified Chinese', 'Japanese', 'Korean', 'French', 'Italian', 'Hungarian', 'Polish', 'Portuguese', 'Dutch', 'Portuguese - Brazil', 'Turkish', 'Romanian']",http://www.playdeceit.com/,True,False,False,65235,17395,449,World Makers,"Action,Free to Play,Indie"
594570,Total War: WARHAMMER II,"Sep 28, 2017",5000000 - 10000000,0,59.99,22,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Turkish', 'Simplified Chinese', 'Traditional Chinese']",,True,True,True,107577,8177,12635,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","Action,Strategy"
233450,Prison Architect,"Oct 6, 2015",5000000 - 10000000,0,29.99,8,"['English', 'French', 'Italian', 'German', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Dutch', 'Japanese', 'Swedish', 'Traditional Chinese', 'Turkish']",https://www.prisonarchitect.com/,True,True,True,56684,5947,1481,"Double Eleven,Introversion Software","Indie,Simulation,Strategy"
374320,DARK SOULS™ III,"Apr 11, 2016",5000000 - 10000000,17,59.99,3,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']",,True,False,False,310407,21119,5041,"FromSoftware, Inc.",Action
